application_id;composant_id;Commentaire;perimetre_id;type_id;ENVIRONNEMENT;phase_id;USAGE;NOMUSAGE;lot_id;etat_id;DATELIVRAISON;volumetrie_id;Puissance;architecture_id;CONNECT;PVU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;1 environnement pour 1 compagnies;MOA;Recette;RECITF303;Recette multibrique 303;REC303;REC303;303;Livré;16/01/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSMOVISION;OSMOVISION;;GROUPEMENT;Fiabilisation;FIAB;;FIAB;FIAB;303;Désactivé;20/01/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSMOVISION;OSMOVISION;;MOA;Recette;RDD;;RDD;RDD;303;Désactivé;20/01/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSMOVISION;OSMOVISION;;DSI-T;Pilote;PILOTE;;PILOTE;PILOTE;303;Désactivé;20/01/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;Marche en double;MOA;Recette;RECRDD303;;RDD;RDD;303;Désactivé;24/01/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;DSI-T;Recette;REC4;;REC303 RDD;RDD;303;Livré;24/01/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGRM;JRULES;Dev;GROUPEMENT;Développement;DEV1;Réal MR;DEV310;DEV310;310;Désactivé;01/02/2012;STANDARD;DEV-PF1;SIMPLIFIE (StandAlone);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;besoin temporaire->VM;MOA;Recette;REC7;;BAC-MOA-FORMATION303;BAC-MOA-FORMATION303;303;Désactivé;06/02/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;besoin temporaire->VM;MOA;Recette;REC8;;VERIF-MAB;VERIF-MAB;303;Désactivé;06/02/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;Dataguard dans la configuration;DSI-T;Pilote;PROD303;;PILOTE GENERALISE;PILOTE GENERALISE;303;Désactivé;15/02/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;MOA;Recette;REC2;;1BRIQUE;1BRIQUE;303;Désactivé;20/02/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSMOVISION;OSMOVISION;;MOA;Recette;REC1;;RECETTE 1B;1BRIQUE;303;Désactivé;27/02/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSMOVISION;OSMOVISION;;MOA;Recette;REC2;;RECETTE RDD;RECRDD;303;Désactivé;27/02/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSMOVISION;OSMOVISION;;MOA;Fiabilisation;REC3;;FIABILISATION;FIAB;303;Désactivé;27/02/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANAM;JVIEWS/CPLEX;PERMUTATION QUALIF3031 <-> REC3031;MOA;Qualification;INT1;Recette multibrique 303;QUALIF3031;QUALIF3031;303;Livré;27/02/2012;STANDARD;RECETTE;SIMPLIFIE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;rafraichissement quotidien vespéral- mardi- mercredi- jeudi;MOA;Formation;FORM2;FORMATION 303;EPI;EPI;303;Livré;01/03/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;rafraichissement quotidien vespéral- mardi- mercredi- jeudi;MOA;Formation;FORM3;;EPI-F2;EPI-F2;303;Désactivé;01/03/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;;DSI-T;Pilote;PILOTE;;PILOTE;PILOTE;303;Désactivé;05/03/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;;DSI-T;Pilote;PILOTE;;PILOTE;PILOTE;303;Désactivé;05/03/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;MOA;Copie de production;REC6;COPIE DE PRODUCTION 303;COPI303;COPIEPROD;303;Livré;05/03/2012;ISO PROD;RECETTE;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;MOA;Recette;REC9;;RDD2;RDD2;303;Désactivé;16/03/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSMOVISION;OSMOVISION;;MOA;Marche à blanc;MAB;MARCHE A BLANC 303;MAB303;MAB;303;Livré;19/03/2012;ISO PROD;ISO PROD;ISO PROD;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OSMOVISION;OSMOVISION;;DSI-T;Pilote;PROD;;PILOTE GENERALISE;PILOTE GENERALISE;303;Désactivé;19/03/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;copie F1/F2 rafraichissement hebdomaire;MOA;Formation;FORM6;;EPI-BAC-S1;EPI-BAC-S1;303;Désactivé;28/03/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;COPIE de PROD hebdomadaire;MOA;Formation;FORM7;;EPI-BAC-S2;EPI-BAC-S2;303;Désactivé;28/03/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;tests techniques egalement;MOA;Marche à blanc;MAB303;MARCHE A BLANC 303;MAB303;MAB;303;Livré;23/04/2012;ISO PROD;ISO BATCH;AVANCE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;tests techniques egalement;MOA;Marche à blanc;MAB303;MARCHE A BLANC 303;MAB303;MAB;303;Livré;23/04/2012;ISO PROD;ISO BATCH;AVANCE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;;MOA;Marche à blanc;MAB1;MARCHE A BLANC 303;MAB303;MARCHE A BLANC;303;Livré;23/04/2012;ISO PROD;ISO BATCH;AVANCE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;;DSI-T;Pré-production;PREPROD;;PREPROD;PREPROD;303;Désactivé;01/05/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;;DSI-T;Pilote;PILOTE;;PILOTE GENERALISE;PILOTE GENERALISE;303;Désactivé;01/05/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANAM;JVIEWS/CPLEX;;MOA;Recette;REC1;Recette Monobrique 303;REC3031 1B;REC1B;303;Livré;10/06/2012;ISO PROD;RECETTE;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANAM;JVIEWS/CPLEX;ref DAT12C7E;DSI-T;Performance;PERF;;PERF3031;PERFORMANCE;303;Livré;14/06/2012;ISO PROD;ISO PROD;ISO PROD;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
